District,Soil_Type,Previous_Crop,Current_Crop,Stage,N,P,K,pH,Moisture,Target_Action,Situation
Mirpur Khas,Loamy,Guava,None,Empty Field,110.5,38.1,124.5,6.31,44.2,Guava,Pre-Sowing
Mirpur Khas,Loamy,Rice,None,Empty Field,111.3,35.0,129.5,7.67,23.2,Wheat,Pre-Sowing
Umerkot,Sandy Loam,Wheat,None,Empty Field,51.9,21.8,52.8,8.11,11.6,Guar,Pre-Sowing
Umerkot,Sandy Loam,Wheat,None,Empty Field,113.9,50.7,201.7,7.58,50.5,Cotton,Pre-Sowing
Tharparkar,Sandy,Wheat,None,Empty Field,18.8,11.0,33.2,8.76,3.0,Desert grasses,Pre-Sowing
Umerkot,Sandy Loam,Sunflower,None,Empty Field,60.3,24.2,61.1,8.52,18.0,Guar,Pre-Sowing
Mirpur Khas,Clay Loam,None,Banana,Vegetative,200.5,76.4,257.5,6.31,78.8,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,Mango,None,Empty Field,126.9,56.3,197.0,7.05,64.0,Cotton,Pre-Sowing
Mirpur Khas,Loamy,None,Onion,Maturity,61.0,17.8,89.8,7.17,27.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Sandy Loam,None,Bajra,Vegetative,55.5,23.9,58.4,7.71,14.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,None,Guar,Maturity,27.0,29.3,33.9,7.64,10.2,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,Chilli,None,Empty Field,101.8,54.9,146.4,6.89,51.2,Wheat,Pre-Sowing
Umerkot,Sandy Loam,None,Moth bean,Vegetative,16.8,26.1,33.6,8.48,10.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,None,Cotton,Maturity,46.5,21.1,69.0,8.38,12.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Tharparkar,Desert Sand,None,Wheat,Flowering,48.4,14.8,68.8,7.93,22.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,None,Jowar,Seedling,39.8,13.8,32.0,7.91,9.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,None,Sugarcane,Flowering,196.5,79.4,279.4,7.2,77.5,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,Jowar,None,Empty Field,42.6,15.5,35.9,8.13,7.4,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,None,Jowar,Flowering,48.8,15.6,26.9,8.29,8.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Loamy,Chilli,None,Empty Field,153.8,51.3,196.9,7.37,58.3,Cotton,Pre-Sowing
Umerkot,Light Sandy,None,Chilli,Vegetative,100.9,46.7,122.0,7.04,48.5,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,Onion,None,Empty Field,14.7,33.3,35.8,8.17,13.9,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,None,Wheat,Seedling,87.9,23.4,100.9,7.63,32.6,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Wheat,Maturity,67.7,29.7,107.5,7.3,37.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,None,Onion,Maturity,37.5,25.8,54.6,7.33,14.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Loamy,None,Jowar,Vegetative,62.3,25.9,47.7,7.15,18.5,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Loamy,None,Mango,Flowering,124.8,59.1,180.9,6.62,44.3,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,None,Cotton,Flowering,143.7,52.0,204.5,7.12,57.7,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Jowar,None,Empty Field,81.7,36.4,80.4,7.19,21.5,Jowar,Pre-Sowing
Mirpur Khas,Alluvial,Banana,None,Empty Field,99.8,65.0,162.7,6.48,61.8,Chilli,Pre-Sowing
Umerkot,Loamy,None,Guar,Seedling,13.8,23.1,20.5,8.94,10.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,Guar,None,Empty Field,51.9,17.8,70.4,8.16,24.0,Bajra,Pre-Sowing
Mirpur Khas,Loamy,None,Chilli,Seedling,87.1,37.4,106.1,6.82,40.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,Moth bean,None,Empty Field,10.0,17.8,19.0,8.29,9.1,Moth bean,Pre-Sowing
Mirpur Khas,Alluvial,None,Mango,Seedling,42.9,17.8,52.7,7.43,21.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,Banana,None,Empty Field,124.9,63.8,184.2,6.93,56.1,Onion,Pre-Sowing
Tharparkar,Desert Sand,Dates,None,Empty Field,7.9,24.4,28.9,8.33,8.9,Desert grasses,Pre-Sowing
Mirpur Khas,Loamy,None,Guava,Seedling,88.2,50.9,123.5,6.32,47.4,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Onion,Seedling,58.6,23.4,63.8,7.68,21.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Light Sandy,None,Jowar,Seedling,49.8,17.9,21.0,8.5,10.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,Moth bean,None,Empty Field,63.4,38.2,90.8,7.32,41.8,Bajra,Pre-Sowing
Umerkot,Clay,None,Moth bean,Flowering,31.3,47.8,59.6,7.69,17.8,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Wheat,Flowering,60.5,14.6,64.9,8.19,22.5,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Wheat,None,Empty Field,34.3,14.0,30.5,7.98,8.5,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,Dates,None,Empty Field,8.5,13.1,26.0,9.12,9.9,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,None,Jowar,Maturity,48.9,14.6,30.3,8.51,9.8,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Moth bean,None,Empty Field,101.7,70.1,123.0,8.19,21.0,Dates,Pre-Sowing
Mirpur Khas,Silt Loam,None,Rice,Seedling,50.1,15.4,70.5,6.84,34.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Clay Loam,None,Guava,Vegetative,52.0,14.0,36.8,7.1,19.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy,Desert grasses,None,Empty Field,46.3,13.5,33.5,8.62,9.4,Desert grasses,Pre-Sowing
Umerkot,Loamy,None,Moth bean,Vegetative,7.1,17.0,21.5,8.88,9.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Tharparkar,Sandy,None,Wheat,Maturity,37.5,13.2,25.5,8.53,14.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,None,Moth bean,Vegetative,10.8,16.2,26.1,9.05,7.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,None,Chilli,Maturity,107.9,51.9,148.9,7.33,46.2,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Guar,Vegetative,27.4,44.5,48.0,8.13,15.1,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,Wheat,None,Empty Field,80.2,35.8,108.1,7.17,33.8,Wheat,Pre-Sowing
Mirpur Khas,Silt Loam,None,Tomato,Seedling,120.4,65.1,167.8,6.24,67.0,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Moth bean,None,Empty Field,5.5,11.0,15.0,9.04,3.5,Desert grasses,Pre-Sowing
Mirpur Khas,Loamy,Banana,None,Empty Field,214.0,61.4,232.6,6.58,66.2,Banana,Pre-Sowing
Tharparkar,Desert Sand,None,Guar,Vegetative,8.6,25.5,25.9,8.06,9.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,Banana,None,Empty Field,112.6,57.9,187.0,6.42,54.4,Mango,Pre-Sowing
Umerkot,Sandy Loam,None,Moth bean,Flowering,12.7,28.1,33.6,8.05,12.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,None,Sugarcane,Seedling,191.6,67.1,224.3,6.99,71.3,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,Mango,None,Empty Field,120.5,58.9,182.7,6.72,60.4,Onion,Pre-Sowing
Umerkot,Clay,None,Moth bean,Seedling,24.7,39.9,40.5,7.97,20.0,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,None,Sunflower,Vegetative,98.6,40.0,118.6,6.99,46.4,Nutrients Optimal - No Action Needed,Growth
Umerkot,Clay,None,Bajra,Vegetative,32.8,9.8,26.0,8.29,8.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,Guar,None,Empty Field,67.7,22.6,81.8,7.4,24.9,Jowar,Pre-Sowing
Mirpur Khas,Clay Loam,None,Chilli,Vegetative,119.7,55.5,135.1,6.84,57.2,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Desert grasses,Flowering,9.0,17.7,33.7,8.04,15.4,Nutrients Optimal - No Action Needed,Growth
Umerkot,Clay,None,Cotton,Vegetative,115.2,46.2,198.6,7.29,52.5,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,Banana,None,Empty Field,185.8,67.2,207.5,7.45,77.7,Sugarcane,Pre-Sowing
Tharparkar,Sandy,None,Dates,Seedling,35.2,25.7,64.1,8.88,4.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,None,Bajra,Vegetative,18.2,8.0,16.6,8.94,6.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Loamy,None,Cotton,Seedling,130.7,55.3,187.4,7.25,49.2,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,Onion,None,Empty Field,91.3,52.5,161.1,6.27,44.0,Guava,Pre-Sowing
Umerkot,Sandy Loam,None,Bajra,Seedling,58.1,20.2,67.9,6.68,14.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Guar,Seedling,6.6,13.8,19.2,9.5,4.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Light Sandy,None,Onion,Vegetative,36.3,15.0,74.8,7.7,18.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,None,Desert grasses,Seedling,5.0,3.9,15.0,9.5,2.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,Jowar,None,Empty Field,94.1,50.3,150.0,6.76,47.2,Onion,Pre-Sowing
Umerkot,Clay,None,Cotton,Vegetative,118.8,44.7,167.7,7.79,44.0,Nutrients Optimal - No Action Needed,Growth
Umerkot,Clay,None,Onion,Maturity,81.4,32.9,135.6,6.94,40.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,Sunflower,None,Empty Field,82.8,41.4,85.5,7.89,30.3,Guar,Pre-Sowing
Mirpur Khas,Clay Loam,None,Tomato,Vegetative,131.5,66.4,182.6,6.81,66.4,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Guar,None,Empty Field,27.4,37.1,61.4,7.74,15.3,Guar,Pre-Sowing
Mirpur Khas,Silt Loam,Chilli,None,Empty Field,73.1,26.0,149.1,7.07,26.5,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,Dates,None,Empty Field,39.4,24.6,43.6,8.53,4.2,Desert grasses,Pre-Sowing
Mirpur Khas,Loamy,None,Sugarcane,Seedling,186.1,70.3,210.6,7.25,77.9,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,None,Wheat,Seedling,107.6,51.1,140.8,7.31,53.7,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,None,Chilli,Flowering,53.5,27.8,75.2,7.65,17.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Mirpur Khas,Loamy,Onion,None,Empty Field,118.4,52.2,132.6,5.97,84.1,Rice,Pre-Sowing
Mirpur Khas,Loamy,None,Rice,Seedling,87.2,39.1,87.9,6.56,72.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,Sunflower,None,Empty Field,90.0,30.3,113.0,7.33,34.6,Bajra,Pre-Sowing
Umerkot,Sandy Loam,Onion,None,Empty Field,76.9,31.8,94.7,7.84,36.3,Bajra,Pre-Sowing
Mirpur Khas,Silt Loam,None,Mango,Maturity,119.3,53.2,162.8,6.85,49.5,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,Wheat,None,Empty Field,119.8,44.5,181.9,6.23,68.1,Tomato,Pre-Sowing
Tharparkar,Sandy,None,Guar,Vegetative,7.9,21.2,28.3,9.35,9.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Moth bean,Vegetative,24.2,27.5,47.7,8.18,9.9,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,None,Bajra,Vegetative,42.8,15.0,37.0,7.54,7.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,Cotton,None,Empty Field,22.8,52.7,64.2,7.88,34.3,Guar,Pre-Sowing
Tharparkar,Desert Sand,None,Desert grasses,Flowering,9.3,18.2,31.8,8.53,11.1,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,Guar,None,Empty Field,19.9,32.6,44.3,8.74,14.8,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,None,Desert grasses,Maturity,16.4,11.8,33.4,9.04,4.7,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,19.4,18.0,19.6,7.7,5.4,Moth bean,Pre-Sowing
Tharparkar,Sandy,Moth bean,None,Empty Field,74.7,19.6,54.4,7.04,13.6,Jowar,Pre-Sowing
Umerkot,Sandy Loam,Sunflower,None,Empty Field,19.2,37.4,54.3,7.21,19.8,Moth bean,Pre-Sowing
Umerkot,Loamy,None,Jowar,Vegetative,81.0,32.9,62.0,6.97,43.0,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,Wheat,None,Empty Field,120.2,70.8,167.3,6.17,58.2,Tomato,Pre-Sowing
Umerkot,Sandy Loam,Guar,None,Empty Field,41.8,20.2,105.7,8.51,18.9,Guar,Pre-Sowing
Tharparkar,Sandy Loam,None,Wheat,Flowering,50.8,16.6,58.1,8.28,24.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,None,Dates,Maturity,50.6,30.7,54.2,8.84,3.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,None,Chilli,Seedling,117.4,61.1,169.2,6.71,48.7,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Banana,Seedling,182.0,79.3,258.2,6.23,76.2,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,None,Banana,Vegetative,175.6,86.4,240.9,6.43,74.5,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Wheat,None,Empty Field,5.0,14.9,20.1,9.5,5.7,Desert grasses,Pre-Sowing
Umerkot,Light Sandy,Guar,None,Empty Field,17.8,31.7,38.1,7.99,13.8,Moth bean,Pre-Sowing
Umerkot,Sandy Loam,None,Guar,Maturity,24.1,48.0,55.5,8.02,32.9,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,None,Rice,Flowering,132.3,57.3,119.7,5.67,81.3,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Moth bean,Maturity,10.8,16.0,22.0,8.85,8.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Mirpur Khas,Silt Loam,Mango,None,Empty Field,136.9,44.5,156.1,6.97,60.8,Wheat,Pre-Sowing
Mirpur Khas,Clay Loam,None,Cotton,Seedling,98.5,34.9,125.9,7.65,40.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Silt Loam,Tomato,None,Empty Field,220.5,74.2,261.4,6.91,77.0,Sugarcane,Pre-Sowing
Mirpur Khas,Loamy,None,Rice,Seedling,79.8,37.9,83.9,6.09,65.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,None,Wheat,Maturity,88.0,35.7,107.5,7.4,41.3,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Sugarcane,Vegetative,217.3,64.4,237.7,7.24,70.6,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,Dates,None,Empty Field,9.4,17.8,25.2,7.82,8.1,Desert grasses,Pre-Sowing
Umerkot,Clay,Chilli,None,Empty Field,95.4,39.8,64.5,7.17,35.7,Jowar,Pre-Sowing
Umerkot,Sandy Loam,Sunflower,None,Empty Field,108.5,53.4,173.0,7.07,48.9,Onion,Pre-Sowing
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,59.2,36.2,79.2,8.72,6.5,Bajra,Pre-Sowing
Mirpur Khas,Clay Loam,None,Chilli,Vegetative,50.4,16.4,76.3,7.61,18.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Tharparkar,Sandy,None,Bajra,Maturity,40.9,16.2,41.1,8.59,9.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Moth bean,None,Empty Field,8.9,18.6,26.3,9.01,6.5,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,Wheat,None,Empty Field,42.9,13.0,34.2,7.98,7.8,Moth bean,Pre-Sowing
Tharparkar,Sandy Loam,None,Desert grasses,Flowering,14.8,10.5,32.8,7.7,10.5,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,Cotton,None,Empty Field,117.8,41.5,151.8,7.05,50.2,Wheat,Pre-Sowing
Tharparkar,Desert Sand,Moth bean,None,Empty Field,10.0,18.7,26.6,7.98,7.1,Desert grasses,Pre-Sowing
Umerkot,Light Sandy,None,Wheat,Vegetative,110.8,33.6,105.7,6.97,40.5,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,Onion,None,Empty Field,80.1,34.8,104.2,6.99,35.1,Bajra,Pre-Sowing
Umerkot,Sandy Loam,None,Jowar,Flowering,70.2,18.4,48.1,7.49,17.2,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,None,Onion,Flowering,68.4,27.4,52.8,7.67,30.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Tharparkar,Sandy,None,Dates,Seedling,118.0,66.5,103.1,7.88,13.9,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,27.4,23.4,68.0,8.89,3.3,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,Dates,None,Empty Field,64.0,16.5,57.6,7.85,20.4,Jowar,Pre-Sowing
Mirpur Khas,Silt Loam,Rice,None,Empty Field,115.2,48.0,173.7,6.89,36.1,Wheat,Pre-Sowing
Umerkot,Loamy,Wheat,None,Empty Field,130.6,39.3,179.3,7.47,48.4,Cotton,Pre-Sowing
Mirpur Khas,Silt Loam,None,Rice,Vegetative,70.8,15.9,48.3,6.91,26.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Silt Loam,Guava,None,Empty Field,92.6,33.5,107.7,7.26,35.4,Wheat,Pre-Sowing
Umerkot,Clay,None,Chilli,Vegetative,46.2,18.9,81.0,7.85,23.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,Rice,None,Empty Field,73.7,20.1,55.6,8.29,25.1,Wheat,Pre-Sowing
Umerkot,Sandy Loam,Bajra,None,Empty Field,53.4,19.0,45.4,8.33,20.0,Moth bean,Pre-Sowing
Umerkot,Light Sandy,None,Wheat,Maturity,92.2,32.0,122.0,7.12,38.9,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Wheat,Maturity,75.5,32.1,103.7,7.61,35.3,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,Bajra,None,Empty Field,43.2,16.2,35.8,7.84,7.9,Jowar,Pre-Sowing
Tharparkar,Sandy Loam,Wheat,None,Empty Field,72.0,34.0,39.7,7.64,22.2,Jowar,Pre-Sowing
Umerkot,Loamy,None,Bajra,Flowering,99.4,28.5,115.6,6.76,39.2,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,None,Wheat,Vegetative,45.9,19.3,54.7,7.46,22.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Sandy Loam,Cotton,None,Empty Field,20.4,30.8,43.7,8.64,13.3,Moth bean,Pre-Sowing
Tharparkar,Sandy,None,Guar,Seedling,8.3,19.7,30.0,7.56,8.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,None,Cotton,Seedling,65.8,15.2,72.4,7.61,20.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy,None,Jowar,Seedling,28.1,6.8,20.0,8.69,5.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Silt Loam,None,Banana,Flowering,142.2,52.5,181.1,6.81,58.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Loamy,None,Sugarcane,Flowering,132.9,53.7,157.8,7.1,60.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Loamy,Banana,None,Empty Field,61.9,25.7,111.9,6.92,31.0,Wheat,Pre-Sowing
Tharparkar,Sandy,Wheat,None,Empty Field,5.0,12.9,22.0,9.08,5.4,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,Desert grasses,None,Empty Field,36.6,17.0,44.2,8.82,9.2,Desert grasses,Pre-Sowing
Mirpur Khas,Loamy,None,Mango,Seedling,72.4,34.3,147.0,6.52,27.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,Jowar,None,Empty Field,92.7,44.3,155.7,6.59,57.7,Onion,Pre-Sowing
Tharparkar,Sandy Loam,Guar,None,Empty Field,97.9,64.6,143.7,7.79,8.3,Dates,Pre-Sowing
Mirpur Khas,Silt Loam,Chilli,None,Empty Field,61.2,36.1,96.2,6.16,38.0,Guava,Pre-Sowing
Umerkot,Sandy Loam,None,Chilli,Vegetative,30.8,21.6,58.5,7.59,24.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Clay Loam,Rice,None,Empty Field,64.6,38.6,113.7,7.02,36.1,Wheat,Pre-Sowing
